,date,dayNum,dayOfWeek,yearFreq,seasonal,weekly,forecast,low80,low95,high80,high95
84,2015-03-26,2448,Thursday,0.23013698630137,1.03372953895202,1.08810137455689,685991440.664018,684722157.2782199,684051190.2058537,687263076.946238,687937194.4703116
85,2015-03-27,2449,Friday,0.232876712328767,1.03091226945898,1.03806527808289,686043891.0346482,684737319.5745487,684046670.0137172,687352955.6098949,688046943.3708708
86,2015-03-28,2450,Saturday,0.235616438356164,1.02737828999989,0.805673426960325,686096050.3753899,684751540.9392496,684040867.5180198,687443199.755394,688157407.9757922
87,2015-03-29,2451,Sunday,0.238356164383562,1.02390499697264,0.798695702528412,686147919.4550598,684764818.4411402,684033777.9218191,687533814.0827286,688268595.1603913
88,2015-03-30,2452,Monday,0.24109589041095897,1.0211554657502,1.10913391290165,686199499.0723162,684777149.2028784,684025396.4968462,687624803.3031119,688380511.803508
89,2015-03-31,2453,Tuesday,0.243835616438356,1.01766357956129,1.1069409689866299,686250790.0554664,684788530.4004332,684015718.5828205,687716172.1391095,688493164.7878965
90,2015-04-01,2454,Wednesday,0.24657534246575302,1.01397804580304,1.09679401154926,686301793.2622793,684798959.262605,684004739.5868367,687807925.3248348,688606561.0006235
91,2015-04-02,2455,Thursday,0.249315068493151,1.01168078020723,1.08819904147843,686352509.5797368,684808433.070479,683992454.9826834,687900067.6060814,688720707.3334267
92,2015-04-03,2456,Friday,0.25205479452054796,1.01028030379012,1.0381553070154599,686402939.9238853,684816949.1569934,683978860.3102721,687992603.740506,688835610.6830903
93,2015-04-04,2457,Saturday,0.254794520547945,1.00923921992431,0.8055111127398591,686453085.239603,684824504.9064021,683963951.1749973,688085538.497734,688951277.951788
94,2015-04-05,2458,Sunday,0.25753424657534196,1.00857126704168,0.798428701359604,686502946.5004041,684831097.7538316,683947723.2471262,688178876.6595191,689067716.0474309
95,2015-04-06,2459,Monday,0.26027397260274,1.00829054735726,1.10923794427384,686552524.7082379,684836725.1847929,683930172.2612573,688272623.0198483,689184931.8839601
96,2015-04-07,2460,Tuesday,0.263013698630137,1.00841158144229,1.10701528826723,686601820.8932803,684841384.7347177,683911294.0156819,688366782.3850576,689302932.3816909
97,2015-04-08,2461,Wednesday,0.265753424657534,1.00901722737505,1.09686566358754,686650836.1137205,684845073.9885118,683891084.3718622,688461359.5739702,689421724.4676046
98,2015-04-09,2462,Thursday,0.268493150684932,1.01109274380842,1.08829671716645,686699571.4555733,684847790.5801005,683869539.2538455,688556359.4179558,689541315.075639
99,2015-04-10,2463,Friday,0.271232876712329,1.0139020996905501,1.0382453437560202,686748028.0324589,684849532.1919608,683846654.6477203,688651786.7610575,689661711.1469514
100,2015-04-11,2464,Saturday,0.273972602739726,1.01605113447159,0.8053488312198721,686796206.985384,684850296.5546979,683822426.601078,688747646.4600455,689782919.6302214
