,date,dayNum,dayOfWeek,yearFreq,seasonal,weekly,forecast,low80,low95,high80,high95
68,2015-07-13,2557,Monday,0.528767123287671,0.944024369369876,1.11283196286201,649412050.8059585,648792334.3048795,648464515.6312705,650032359.2507468,650360970.5173278
69,2015-07-14,2558,Tuesday,0.531506849315069,0.944031745255415,1.11244775499732,649265946.1710495,648624011.6386726,648284448.9844344,649908516.017476,650248929.3361263
70,2015-07-15,2559,Wednesday,0.534246575342466,0.943604716092111,1.10372462972319,649119443.3345823,648454824.7515146,648103272.4311754,649784743.1029016,650137207.5076876
71,2015-07-16,2560,Thursday,0.536986301369863,0.9426928479396159,1.0896715163832,648972545.1803879,648284773.5909262,647920984.4074525,649661046.433386,650025812.6121447
72,2015-07-17,2561,Friday,0.5397260273972599,0.941485854258389,1.03844332000882,648825254.5961584,648113858.1372963,647737583.3986127,649537431.9130664,649914752.1948012
73,2015-07-18,2562,Saturday,0.542465753424658,0.94012259904247,0.8007714470238599,648677574.4732075,647942078.4031895,647553067.9385223,649413905.4241315,649804033.7666909
74,2015-07-19,2563,Sunday,0.545205479452055,0.9387412913346469,0.792037454146813,648529507.706276,647769434.4326608,647367436.6085725,649290472.8271337,649693664.805162
75,2015-07-20,2564,Monday,0.547945205479452,0.937479357197906,1.11294769708754,648381057.1933222,647595926.3006161,647180688.0368617,649167139.9612578,649583652.7544682
76,2015-07-21,2565,Tuesday,0.550684931506849,0.9363823368189479,1.11254077176277,648232225.8353072,647421554.1121279,646992820.8972924,649043912.6446126,649474005.0262423
77,2015-07-22,2566,Wednesday,0.5534246575342471,0.9351655762325649,1.10382088162413,648083016.5359758,647246318.0018582,646803833.9087614,648920796.6744522,649364729.0000799
78,2015-07-23,2567,Thursday,0.556164383561644,0.933978300287103,1.08977321449822,647933432.2016898,647070218.1333816,646613725.8342841,648797797.8274472,649255832.0239761
79,2015-07-24,2568,Friday,0.558904109589041,0.932976821641837,1.0385310667145602,647783475.7411696,646893254.6986157,646422495.4802698,648674921.8598864,649147321.4148388
80,2015-07-25,2569,Saturday,0.561643835616438,0.9320242111181299,0.8006018318026391,647633150.0653249,646715427.9172239,646230141.6956716,648552174.507922,649039204.4589227
81,2015-07-26,2570,Sunday,0.5643835616438361,0.9311062852547429,0.791761424912665,647482458.0870444,646536738.0360417,646036663.3712847,648429561.4877632,648931488.4122949
82,2015-07-27,2571,Monday,0.5671232876712329,0.9302936899248759,1.1130634433493998,647331402.7209759,646357185.3284925,645842059.4389472,648307088.4958724,648824180.5012327
83,2015-07-28,2572,Tuesday,0.56986301369863,0.9296039527901079,1.11263379630578,647179986.8833476,646176770.0940655,645646328.8708563,648184761.209163,648717287.9226639
84,2015-07-29,2573,Wednesday,0.5726027397260269,0.9289722156437079,1.10391714191886,647028213.4917495,645995492.657733,645449470.6788452,648062585.2851514,648610817.844533
85,2015-07-30,2574,Thursday,0.5753424657534251,0.928333819387673,1.08987492210464,646876085.4649575,645813353.3694587,645251483.9136765,647940566.3621814,648504777.4062054
86,2015-07-31,2575,Friday,0.5780821917808221,0.927624286158178,1.03861882083476,646723605.7226943,645630352.603645,645052367.6643885,647818710.0595169,648399173.7188326
87,2015-08-01,2576,Saturday,0.580821917808219,0.9268202606241229,0.8004322525084259,646570777.1854773,645446490.75863,644852121.0576015,647697021.9775617,648294013.865689
88,2015-08-02,2577,Sunday,0.5835616438356159,0.9260492791560401,0.7914854918761609,646417602.7743883,645261768.2562107,644650743.2568979,647575507.6979398,648189304.9025301
89,2015-08-03,2578,Monday,0.5863013698630141,0.9252928395166609,1.1131792016488402,646264085.4108949,645076185.5411023,644448233.4621763,647454172.7837062,648085053.8579273
90,2015-08-04,2579,Tuesday,0.589041095890411,0.9244180637078071,1.11272682862698,646110228.0166507,644889743.0804913,644244590.9090159,647333022.7794006,647981267.7335827
91,2015-08-05,2580,Wednesday,0.591780821917808,0.9232293552948392,1.10401341060811,645956033.5133021,644702441.3635577,644039814.8680874,647212063.2112514,647877953.5046284
92,2015-08-06,2581,Thursday,0.5945205479452049,0.9222101620364951,1.0899766392033399,645801504.8222961,644514280.9009854,643833904.6445367,647091299.5872256,647775118.1199496
93,2015-08-07,2582,Friday,0.5972602739726031,0.921202653830772,1.0387065823700299,645646644.8647012,644325262.2245427,643626859.57742,646970737.3971782,647672768.5024474
94,2015-08-08,2583,Saturday,0.6,0.9198966026417209,0.800262709133614,645491456.5609882,644135385.8865879,643418679.0391159,646850382.1129692,647570911.5493305
95,2015-08-09,2584,Sunday,0.602739726027397,0.9186067717260891,0.7912096550037779,645335942.8308767,643944652.4596581,643209362.4347514,646730239.1885344,647469554.1324046
96,2015-08-10,2585,Monday,0.6054794520547939,0.917646260243019,1.1132949719871101,645180106.5931187,643753062.5360386,642998909.2016784,646610314.0599955,647368703.0982934
97,2015-08-11,2586,Tuesday,0.6082191780821921,0.9173270916482259,1.11281986872703,645023950.7653402,643560616.7272965,642787318.808923,646490612.1457497,647268365.2687364
98,2015-08-12,2587,Wednesday,0.610958904109589,0.917759497497967,1.1041096876926,644867478.263817,643367315.6639026,642574590.7566357,646371138.8465654,647168547.4407953
99,2015-08-13,2588,Thursday,0.6136986301369859,0.918428102667695,1.09007836579522,644710692.0033355,643173159.9948026,642360724.5755868,646251899.5456539,647069256.3871282
100,2015-08-14,2589,Friday,0.616438356164384,0.9195082609532991,1.038794351321,644553594.8969821,642978150.3869989,642145719.826647,646132899.6087482,646970498.8562042
101,2015-08-15,2590,Saturday,0.619178082191781,0.9212603686425049,0.800093201670592,644396189.855955,642782287.5251589,641929576.1002967,646014144.3841851,646872281.5725108
102,2015-08-16,2591,Sunday,0.621917808219178,0.923668738844633,0.7909339142620009,644238479.7894129,642585572.1112213,641712293.0161068,645895639.2029579,646774611.2368144
103,2015-08-17,2592,Monday,0.6246575342465749,0.926360196040759,1.1134107543654599,644080467.6042719,642388004.8640176,641493870.2222785,645777389.3787954,646677494.5263228
104,2015-08-18,2593,Tuesday,0.627397260273973,0.9298039889981701,1.11291291660659,643922156.2050292,642189586.5188637,641274307.3951602,645659400.2082238,646580938.0949272
105,2015-08-19,2594,Wednesday,0.6301369863013699,0.9340469800359741,1.10420597317309,643763548.493607,641990317.8272107,641053604.2387662,645541676.9706194,646484948.5733795
106,2015-08-20,2595,Thursday,0.6328767123287671,0.938051032147388,1.09018010188115,643604647.3691385,641790199.5562507,640831760.4843177,645424224.9282624,646389532.5695078
107,2015-08-21,2596,Friday,0.635616438356164,0.9424594274902159,1.0388821276883,643445455.7278316,641589232.4885751,640608775.8898088,645307049.3264095,646294696.6683693
108,2015-08-22,2597,Saturday,0.638356164383562,0.947632735438705,0.799923730111755,643285976.4627813,641387417.4217939,640384650.2395391,645190155.3933048,646200447.4324741
109,2015-08-23,2598,Sunday,0.6410958904109589,0.952073225746923,0.7906582696173281,643126212.4637941,641184755.1681845,640159383.3436801,645073548.3402612,646106791.4019243
110,2015-08-24,2599,Monday,0.643835616438356,0.9555738944947809,1.11352654878515,642966166.6172041,640981246.554359,639932975.0378608,644957233.3616859,646013735.0946237
111,2015-08-25,2600,Tuesday,0.646575342465753,0.95893637158773,1.1130059722663,642805841.8057455,640776892.4208966,639705425.1827143,644841215.6351353,645921285.0064206
112,2015-08-26,2601,Wednesday,0.649315068493151,0.9621537328645671,1.10430226705028,642645240.9083412,640571693.6220212,639476733.6634766,644725500.3213328,645829447.6112683
113,2015-08-27,2602,Thursday,0.6520547945205479,0.965219046283718,1.0902818474620202,642484366.7999516,640365651.0252454,639246900.3895738,644610092.564226,645738229.361411
114,2015-08-28,2603,Friday,0.654794520547945,0.968125381493655,1.0389699114725501,642323222.3514155,640158765.5110674,639015925.2942243,644494997.4910134,645647636.6875198
115,2015-08-29,2604,Saturday,0.6575342465753421,0.9706806090224258,0.7997542944494979,642161810.4292785,639951037.9726351,638783808.3340268,644380220.2121587,645557675.9988459
116,2015-08-30,2605,Sunday,0.66027397260274,0.9726023721555309,0.790382721036269,642000133.8956261,639742469.3154109,638550549.4885768,644265765.821455,645468353.6833671
117,2015-08-31,2606,Monday,0.663013698630137,0.9745873448688921,1.11364235524744,641838195.6079309,639533060.4568604,638316148.7600682,644151639.3960298,645379676.1079491
118,2015-09-01,2607,Tuesday,0.665753424657534,0.9769370522354871,1.11309903570681,641675998.4188943,639322812.3261647,638080606.1729392,644037845.9963673,645291649.6184598
119,2015-09-02,2608,Wednesday,0.668493150684932,0.978901012663093,1.1043985693249199,641513545.1762619,639111725.8638674,637843921.7734656,643924390.6663555,645204280.5399286
120,2015-09-03,2609,Thursday,0.6712328767123289,0.9811599757011411,1.09038360253873,641350838.7226957,638899802.0216155,637606095.6294143,643811278.4332826,645117575.1766647
121,2015-09-04,2610,Friday,0.673972602739726,0.9841633403316259,1.0390577026743901,641187881.8956115,638687041.7618334,637367127.8296677,643698514.3078718,645031539.8124127
122,2015-09-05,2611,Saturday,0.676712328767123,0.9876369161483369,0.799584894676216,641024677.5270048,638473446.0574195,637127018.4838722,643586103.2843059,644946180.7104392
123,2015-09-06,2612,Sunday,0.6794520547945211,0.99129913834034,0.790107268485345,640861228.4433097,638259015.8914901,636885767.7220776,643474050.3402393,644861504.1137042
124,2015-09-07,2613,Monday,0.682191780821918,0.99486450749015,1.11375817375356,640697537.4652567,638043752.2570411,636643375.6944056,643362360.4368068,644777516.2449551
125,2015-09-08,2614,Tuesday,0.6849315068493149,0.9980434588485471,1.11319210692877,640533607.4076982,637827656.1567096,636399842.570684,643251038.5186505,644694223.3068676
126,2015-09-09,2615,Wednesday,0.6876712328767121,1.00085136314069,1.1044948799977399,640369441.0794698,637610728.6024652,636155168.5401175,643140089.5139314,644611631.482125
